@relation training-set

@attribute @class@ {Social,Technology,Politics,Sports}
@attribute content string

@data
Technology,'Because the internet is always at our fingertips it is always there waiting for our weaker People are scared of silence and of boredom and of their own thoughts not just those of us who have been diagnosed with anxiety disorders but all of us on that train carriages of people who can t just look out the window because they might think about something sad or Anxious depressed scared Close down the browser and face your fears'
Politics,'Donald J Trump the almost left wing advocate of the blue collar worker Here s the counter argument to the established view of his Millions of ordinary Americans support Donald T Here s why'
Social,'From environmental activism to genetic science and beyond here are six women to celebrate on International Women s D Six women making a difference on International Women s Day'
Sports,'Maria Sharapova has been provisionally suspended by the ITF and her huge contracts with sponsors like Nike and Tag Heuer have also been halted after she tested positive for the drug Wada the World Anti Doping Agency has argued that it has been used by athletes to increase But what do we know about meldonium Maria Sharapova tests positive for meldonium but what is it'
Technology,'The much maligned F Joint Strike Fighter has yet another problem with its software the radar stops working requiring the pilot to turn it off and on Radar glitch requires F fighter jet pilots to turn it off and on again'
Social,'Those with an annual income of at least were twice as likely of adults to be frequent drinkers compared to those with an annual income of less than Fifth of high earners drink at least five times a week figures show'
Social,'Emma Watson The only thing that is going to make a difference is if men go away and speak to the women in their lives about what they are Emma Watson Calling me a feminazi doesn t affect me'
Social,'Street harassment misogyny and racism are a daily occurrence for black women in this If we are not on the receiving end of those then we are treated as if we are I could give several accounts of situations where I have been outright ignored and then the very thing I said repeated by a white man and given When you challenge that behaviour you are then called an angry black woman or told that you are too proud We all need to be more open to listening to each other and stop building defences when someone challenges us on our behaviours that oppress Black women are treated as if we are invisible women share stories of inequality'
Social,'I think I took all those movies to You know the kind the twenty something living in a super hip apartment in a cool downtown area with plenty of money to go out all the time and order Between and and single the last years have not been kind to Young single people bear the brunt of Generation Y s economic woes'
Politics,'It s wearing thin isn t it the charm the wit the dazzling vocab At a time when it matters more than ever that he explains his core beliefs we see that his core belief is in himself The Brexit cock up has exposed the real Boris Johnson it s not pretty'
Sports,'This medicine used to be allowed it does not do anything major it just helped a lot of people with their recovery times it did not offer any unfair Russians warn more athletes could test for Maria Sharapova drug meldonium'
Social,'I find the view that being gay is sinful I find that view completely repugnant and BBC s Iain Lee broke rules by attacking guest s anti gay views'
Politics,'The reason we have been governed so badly is because government has been in the hands of those who least believe in Politicians have become little more than go betweens their principal function to hand over taxpayers assets always in car boot sales and always at way less than market No longer having faith in their own competence politicians have blithely surrendered the state s most basic Why the Tory project is bust'
Politics,'Even though ministers find this hard to admit the evidence from analysis of exam results and Ofsted reports is clear academy status is not a magic bullet for school From the secretary of state s point of view academisation is actually With no local authority to blame the buck will stop with No wonder ministers are wary of converting all schools into academies'
Social,'Want to more than double your chances of a healthy retirement Here s How to get fit after'
Politics,'It is waging war on an ethnic minority its riot police just stormed the offices of a major newspaper its secret service faces allegations of arming Isis its military shot down a Russian bomber and yet Turkey wants to join the European U Can a Turkey sliding into despotism and censorship still join the EU The answer must be no'
Sports,'The goal celebration to end all goal celebrations Leicester City fans causing earthquakes with celebrations claims study'
Social,'On hearing I was a journalist he exclaimed Oh You write poetry Well I said I don t think my editor would call it But he was already I write People are always surprised when I tell them He enthused for a minute about Sylvia Plath and Anne S Look he was telling me I am more than As we drove away I saw him and his mother walk away from their belongings trying to work out where they were going to sleep that One day nine cruel How supersized inequality looks in the US'
Technology,'Hopes of preventing women from suffering multiple miscarriages have been boosted after UK based scientists have for the first time identified a Scientists identify cause of multiple miscarriages for first time'
Sports,'Five times grand slam tennis champion Maria Sharapova hit out at some media accounts of her doping case that she termed wrong in an open letter to her fans on Facebook on F Sharapova slams media coverage of doping case'
Politics,'U S presidential candidate Donald Trump canceled a rally scheduled for Friday night in Chicago after the event turned into a chaotic scene with thousands of attendees split into opposing camps of supporters of the Republican front runner and protesters inflamed by his Trump s Chicago rally called off for safety reasons amid chaos'
Politics,'U S presidential candidate Donald Trump canceled a rally scheduled for Friday night in Chicago after the event turned into a chaotic scene with thousands of attendees split into opposing camps of supporters of the Republican front runner and protesters inflamed by his Trump s Chicago rally called off for safety reasons amid chaos'
Social,'What it s like to raise a baby with microcephaly alone Zika Single mothers'
Technology,'A spelling mistake in an online bank transfer instruction helped prevent a nearly billion heist last Find out more How a hacker s typo helped stop a billion dollar bank heist'
Politics,'The White House has narrowed its search for a Supreme Court nominee to three federal appeals court judges Sri Srinivasan Merrick Garland and Paul Watford a source familiar with the selection process said on F White House narrows search to three for Supreme Court'
Technology,'This app is a personal tsunami warning system MyShake app a personal tsunami warning system'
Politics,'Follow the movements of the Secret Service throughout the presidential campaign trail'
Social,'Many physicians wrongly don t believe that lead poisoning is still a problem said D Jennifer Lowry a toxicologist and They may not be seeing it because they are not testing for I think every kid should be Find out more with our Special Report Lead in the water A corrosive danger lurks in U S water wells'
Politics,'Russophobia is an irrational fear of all things Russian and Russophobe has become a convenient label for anyone who disagrees with Russian President Vladimir Putin s aggressive behavior at home and Read more with Reuters Opinion Do you suffer from Russophobia The Kremlin thinks you'
Politics,'What do Syria s street vendors nurses and radio presenters expect from the peace talks set to get under way in Geneva next week Not much it Syria hopes and fears'
Social,'Testimony this week ranged from journalism ethics and website analytics to Hulk Hogan s public statements about his sex life including the his penis Hulk Hogan s side rests after slamming Gawker in sex tape lawsuit'
Politics,'A tale of two Donalds Ex White House rival Carson backs Trump calls him cerebral'
Social,'When Aubrey McClendon didn t show up for a dinner with business partners it didn t take long for the group to learn U S prosecutors had just announced McClendon s indictment on a criminal charge of allegedly colluding to rig land bids while leading his former company Chesapeake E They signed the empty wine bottles intending to present them to McClendon the next They never had the Read more Special Report The final days and deals of Aubrey McClendon'
Politics,'Roman Catholic conservatives are growing increasingly worried that Pope Francis is quietly unraveling the legacy of his Read more Three years on pope leaves Catholic conservatives feeling marginalized'
Politics,'WATCH LIVE Former First Lady Nancy Reagan is laid to rest at the Ronald Reagan Presidential L Timeline Photos'
Social,'As authorities try to determine what caused the fatal crash those who knew McClendon are also searching for Hear from them in our Special Report Special Report The final days and deals of Aubrey McClendon'
Politics,'The International Shugden Community dissolves following a Reuters investigation that revealed clandestine support from the Chinese Communist Party for a Buddhist sect behind anti Dalai Lama Find out what happened in our Special Report update Buddhist group leading global anti Dalai Lama protests disbands'
Politics,'A Buddhist group that led a global campaign against the Dalai Lama has disbanded following a Reuters Find out more in the full report Buddhist group leading global anti Dalai Lama protests disbands'
Politics,'A Reuters investigation revealed that the Chinese Communist Party backed a Buddhist religious sect behind protests against the Dalai L Now the group organizing the protests is being Find out more in our Special Report update Buddhist group leading global anti Dalai Lama protests disbands'
Social,'This week on War College we look at the history of snipers and the role they play It s fair to say the role wasn t always considered a badge of Download and tune in The sniper s role Battlefield sinner or savior'
Politics,'Three years after the election of Pope Francis Roman Catholic conservatives are growing increasingly worried that he is quietly unraveling the legacy of his Find out more Three years on pope leaves Catholic conservatives feeling marginalized'
Politics,'U S fencing powerhouse Ibtihaj Muhammad is no stranger to sabre rattling so when the Muslim American athlete heard Donald Trump threaten to ban Muslims from U S shores it only steeled her resolve to return home with a medal from the Rio O Find out more about her amazing career For Muslim American fencer Olympic goal extends beyond medals'
Social,'LIVE NOW The International Association of Athletics Federations IAAF Council holds a news conference following a two day meeting in Monaco where Russia s ban from international athletics including the Olympic Games is expected to be Watch Reuters Live Video'
Politics,'North Korean leader Kim Jong Un watched a ballistic missile launch test and ordered the country to improve its nuclear attack capability by conducting more tests the official KCNA news agency See more North Korea tests'
Politics,'LIVE Canadian PM Trudeau lays a wreath at the Tomb of the Unknown Soldier Reuters Live Video'
Politics,'Former rival Ben Carson backed Republican presidential front runner Donald Trump becoming the second former presidential candidate to support the billionaire businessman in the race for the White H Read more Ex Republican presidential candidate Carson backs Trump'
Politics,'LIVE Donald Trump Q A following statement on Carson Watch Timeline Photos'
Politics,'LIVE NOW Donald Trump s news conference in Palm Beach F Watch Timeline Photos'
Social,'World number two Andy Murray says Maria Sharapova should be banned after her positive test for meldonium and questioned the Russian s use of the drug for medical Forthright Murray says Sharapova should be banned'
Politics,'The first delivery of Russia s S missile defense system to Iran will take place in August or September this year RIA news agency on Friday quoted Sergei Chemezov the head of Russia s industrial conglomerate Rostec as Russia to ship first S missile system to Iran in Aug Sept RIA cites official'
Technology,'U S networks are changing the way they develop and release new shows and even commercials as they seek to adapt to new TV viewing habits and profit from the binge watching made popular by video streaming services like N U S TV networks embrace binge watching taking cue from Netflix'
Social,'How times have Iron ore glut seen easing path to China nod for Vale Fortescue tie up'
Social,'Oil prices jumped on Friday supported by fresh investment and a strong yuan which makes fuel cheaper for Chinese importers but analysts warned that any price rally was pre mature as a global glut remained in Oil jumps as yuan hits high investors put fresh cash into oil'
Social,'The euro hung onto hefty gains in Asia on Friday after the European Central Bank eased aggressively but suggested it was running out of room to cut interest rates even if other stimulus options Euro up as Draghi muddles easing message Asia nonplussed'
Politics,'Trump at the GOPDebate appeared to try to appear more presidential something he has pledged often in the past to do so but never Read more Trump s Islam comments draw fire from rivals but civility reigns'
Politics,'North Korean leader Kim Jong Un watched a ballistic missile launch test and ordered the country to improve its nuclear attack capability by conducting more tests the official KCNA news agency reported on F North Korean leader Kim orders more nuclear tests KCNA'
Politics,'There s something different about this GOPD Trump comes under fire from rivals over Islam comments tone more civil'
Politics,'Major powers close to U N brokered peace talks on Syria are discussing the possibility of a federal division of the war torn country that would maintain its unity as a single state while granting broad autonomy to regional authorities diplomats Key powers mulling possibility of federal division of Syria'
Politics,'Will there be less heat at tonight s GOPDebate in Miami Follow our LIVE coverage beginning at pm ET Election'
Politics,'Given North Korea s unabated nuclear development is it time to reassess that decision Re installing the weapons would raise a host of additional issues writes Reuters Opinion colunist Bennett R Read more It may be time to return U S nukes to the Korean peninsula'
Social,'Fukushima Daiichi nuclear power plant is illuminated for decommissioning operation in the dusk a day before the five year anniversary of the March earthquake and tsunami REUTERS Kyodo More Editor s Choice photos Reuters s cover photo'
Politics,'After firing two short range ballistic missiles into the sea North Korea announced it had scrapped all agreements with the South on commercial exchange projects and would liquidate South Korean assets left behind in its Read more North Korea fires missiles to liquidate South Korean assets'
Politics,'A man is facing criminal charges after police say he punched a protester being removed from a rally for Donald Trump in North C Read more Man charged with assaulting protester at Trump rally in North Carolina report'
Technology,'What would human traders need to do in order to remain relevant amid the rise of the robots Reuters opinion columnist Swaha Pattanaik explains How to beat the rise of the trading machines'
Politics,'A memory stick handed over to a journalist by a former member of Islamic State contains a file marked Martyrs which details a group of IS members who were willing and trained to carry out suicide Read more Islamic State defector brings goldmine of details on supporters'
Politics,'According to Reuters opinion columnists Sherry Bebitch Jeffe and Douglas Jeffe California is drifting to the political center even as national politics is lurching both left and Find out more in their latest article A one party state without the rancor'
Politics,'House Speaker Paul Ryan has had enough of the group that is trying to draft him as a Republican presidential He s sent them a cease and desist Read the Reuters exclusive Exclusive House Speaker Ryan seeks halt to presidential Draft Ryan group'
Politics,'Inviting the th Dalai Lama to the aforementioned event violates the sovereignty and territorial integrity of China in contravention of the purposes and principles of the U N C Read more Exclusive China urges diplomats and U N to boycott Dalai Lama in Geneva'
Politics,'We haven t always conveyed how much we treasure our alliance and ties with our Canadian friends Obama said in a welcoming Find out more Obama welcomes Trudeau celebrates thaw in U S Canada relations'
Politics,'Myanmar s National League for Democracy NLD proposed a close friend of Nobel laureate Aung San Suu Kyi as its presidential candidate ending a four month wait for the identity of the president expected to rule in her Read more Myanmar s NLD names Suu Kyi confidant as presidential candidate'
Politics,'WATCH LIVE U S President Obama and Canadian Prime Minister Trudeau news conference Reuters Live Video'
Politics,'WATCH LIVE Democratic presidential candidate Bernie Sanders rally in Kissimmee Florida Timeline Photos'
Politics,'Watching over The Secret Service detail on the presidential campaign See the whole picture Secret service'
Politics,'Her health condition is deteriorating rapidly and we all fear terrible consequences said Mogherini demanding Savchenko be set free on humanitarian Read more EU tells Russia to free hunger striking Ukrainian pilot Savchenko'
Social,'Police are looking for two shooters and a motive after a backyard party ambush near Pittsburgh killed at least five people and injured three Find out more Police search for shooters motive in Wilkinsburg shooting'
Politics,'Former Brazilian President Luiz Inacio Lula da Silva has been charged in a money laundering investigation led by Sao Paulo state prosecutors Brazil prosecutors charge Lula in money laundering probe'
Politics,'According to a senior Israeli official a hold up over a new U S defense package for Israel was behind Prime Minister Benjamin Netanyahu s decision to forgo a meeting with President Barack Obama in Washington this Find out more Israeli official links Netanyahu s canceled U S trip to defense aid hold up'
Social,'Today the radiation at the Fukushima plant is still so powerful it has proven impossible to get into its bowels to find and remove the extremely dangerous blobs of melted fuel Read more Fukushima s ground zero No place for man or robot'
Politics,'Thousands of documents identifying supporters of Islamic State in over countries were handed over to Sky News by a disillusioned former member of the Read more TV channel says obtains details of Islamic State supporters'
Technology,'An amputee is able to feel rough or smooth textures in real time using an artificial fingertip connected to nerves in his upper Watch Bionic fingertip'
Sports,'Three time Iditarod sled dog racing champion Dallas Seavey became the first to reach the halfway point of the near mile race on W Find out more Three time champion Seavey in lead halfway through Alaska s Iditarod'
Social,'A former Catholic priest charged in a year old murder case in which he is suspected of beating and raping a beauty queen in south Texas was extradited on Wednesday to face justice in the state where the crime Read more Former priest charged in Texas beauty queen murder to be extradited'
Technology,'The devil in the details how a spelling error helped prevent a nearly billion bank heist How a hacker s typo helped stop a billion dollar bank heist'
Politics,'If Donald Trump wins the Republican Party nomination his path to the White House will run through this working class city with a knack for picking Find out more Ohio s dirty little secret blue collar Democrats for Trump'
Social,'Private water wells in the United States remain largely unregulated and researchers and residents point to Flint like lead Read the full report SPECIAL REPORT Flint like dangers in private wells'
Social,'Chipotle Mexican Grill received praise for its handling of potential norovirus infections at a Boston area restaurant as sick employees stayed home and the burrito chain quickly cleaned the More details Cleanup of Massachusetts Chipotle complete after norovirus scare'
Politics,'The missiles fired on Thursday flew about km miles off its east coast city of Wonsan and were likely from the Soviet developed Scud series South Korea s defence ministry Find out more North Korea fires missiles liquidates Seoul s assets in its territory'
Social,'Police say that two gunmen ambushed a backyard party near Pittsburgh on Wednesday killing at least five people and injuring several Read more At least five killed several hurt in shooting near Pittsburgh police'
Politics,'As North Korea fires two more rockets into the sea the U S is flexing its own muscles south of the James Pearson reports from an American military live fire drill as tension ramps up on the Korean Watch U S takes rocket fire to North Korea s doorstep'
Politics,'Clinton and Sanders competing for Hispanic votes next Tuesday in a state where about one fourth of the population is Latino promised to deport only illegal immigrants with criminal records and not to deport Read more Clinton Sanders find common enemy at US presidential debate Trump'
Politics,'The Syrian Observatory for Human Rights said on Thursday that Islamic State s military commander was badly wounded but still alive appearing to contradict U S officials who said he was likely killed in a U S air ISIS commander still alive badly wounded Syria Observatory'
Social,'A study in which people chewed on pieces of raw goat meat and vegetables smacked with a rock is shedding light on how changes long ago in the way our ancestors dined paved the way for physiological advances that helped make us who were are Mastication adaptation easier chewing benefited human ancestors'
Politics,'The White House is interviewing five potential nominees for the U S Supreme Court vacancy created by the death last month of Justice Antonin Scalia a source familiar with the process told Reuters on W White House interviewing five potential U S Supreme Court nominees source'
Social,'The robots sent in to find highly radioactive fuel at Fukushima s nuclear reactors have died a subterranean ice wall around the crippled plant meant to stop groundwater from becoming contaminated has yet to be Fukushima s ground zero No place for man or robot'
Politics,'Both Democrats harshly criticized Trump at DemDebate with Clinton accusing him of trafficking in Sanders touts Michigan win in U S presidential debate with Clinton'
Politics,'North Korea fired two short range ballistic missiles into the sea off its east coast city of Wonsan early on Thursday flying approximately km miles South Korea s military North Korea fires two short range missiles into sea South Korea'
Politics,'Follow our LIVE coverage of tonight s DemDebate Election'
Social,'When I realized that my water had the equivalent of Flint levels of lead I got chills said Stephanie Weiss assistant director of Save the R I felt sick thinking of all the things I had tried to get right as a mother for my kids to grow up happy and healthy when all the while they were living with lead contaminated Read our Special Report Lead in the water A corrosive danger lurks in U S water wells'
Social,'One couple s water is so salty the homeowners tape the taps when guests Even the community s welcome center warns travelers Do Not Drink The Water SpecialReports investigates the U S water crises beyond Flint Lead in the water A corrosive danger lurks in U S water wells'
Social,'As the water contamination crisis in Flint continues to make headlines our Special Reports team finds there are corrosive dangers lurking in private wells all over the United States Lead in the water A corrosive danger lurks in U S water wells'
Social,'Did you miss it A total solar eclipse is seen from the beach of Ternate island I REUTERS Beawiharta Editor s Choice photos Reuters s cover photo'
Politics,'A judge will decide by the end of this month whether to proceed with a proposed class action lawsuit filed by a Jamaican fashion model against Donald Trump s modeling Read more Fate of lawsuit brought by Trump model to be decided this month'
Politics,'With Donald Trump s commanding lead in delegates and polls for the Republican presidential nomination I m finding that a new dynamic is developing Americans are coming up to me shyly and sweetly and asking how exactly to get out Reuters opinion columnist and Canadian Chris Taylor explains Can Donald Trump make Canada great again'
Politics,'Former U S Republican presidential candidate Carly Fiorina has thrown her support behind Ted C Find out more Former Republican rival Fiorina backs Cruz s White House bid'
Politics,'For all his rhetoric a President Trump would like all other occupants of the Oval Office find himself constrained by the Constitution judiciary and Congress says Reuters opinion writer Peter A Read more in his latest column Why America could probably survive a President Trump'
Social,'We are trained not to talk about When we don t talk about it we don t consider We don t think Hey for poor people this is actually expensive this can be a Read more U S women push back against stigma cost of menstruation'
Sports,'What is meldonium or Mildronate the medicine Maria Sharapova says she has taken for years Find out more Experts perplexed over why Sharapova was taking banned heart drug'
Politics,'U S Vice President Joe Biden said on Wednesday his wife Jill and their grandchildren were dining on a Tel Aviv beach when a Palestinian killed an American tourist with a knife and wounded other people on the seafront not very far Read more Biden says his family was near scene of Tel Aviv attack'
Politics,'A judge will decide by the end of this month whether to proceed with a proposed class action lawsuit filed by a Jamaican fashion model against Republican presidential front runner Donald Trump s modeling Find out more Fate of lawsuit brought by Trump model to be decided this month'
Social,'A leader of the armed occupation of a federal wildlife refuge killed by police was shot three times in the back a county prosecutor said on Tuesday calling the shooting justified and Watch FBI probes agents after Oregon shooting'
Sports,'Russia may not be able to send track and field athletes to the Rio de Janeiro Games Read more Suspended Russia may not make it back for Rio Games Dick Pound'
Social,'A knife wielding Palestinian stabs American tourist Taylor Force to death and injures nine others during a rampage in Tel Aviv Tuesday night U S grad student stabbed to death in Israel'
Politics,'The live fire drills came hours after a report by reclusive North Korea that it had miniaturized nuclear warheads to be mounted on ballistic missiles and leader Kim Jong Un had ordered further improvements to its Read more U S serves up Korean rocket salad in war drill response to North s nuclear threats'
Social,'Two Palestinian assailants opened fire at cars in Jerusalem wounding one man before police shot them dead on Wednesday the force said as violence surged during a visit by U S Vice President Joe B Find out more Palestinian attacks surge during Biden visit to Israel'
Politics,'Police say that a man suspected of shooting an Idaho pastor who led a prayer at a rally for U S Republican presidential candidate Ted Cruz has been arrested and is facing attempted murder Read more Suspect in shooting of Idaho pastor arrested'
Politics,'Bernie Sanders Democratic presidential campaign has sued Ohio s secretary of state in federal court over what it calls an unconstitutional attempt to prevent young people from voting in the state s March primary Find out more Sanders campaign sues Ohio for not allowing youth votes in primary'
Technology,'Toshiba Corp has granted Canon Inc exclusive negotiating rights for its medical equipment unit after a hotly contested auction with a report putting Canon s offer at more than billion yen billion Canon closes in on Toshiba s medical unit after fierce bidding'
Social,'Sir George Martin the legendary music producer who shaped the Beatles into the world s most important pop music force has died Ringo Starr said on T He was years Read more about his life George Martin legendary producer for the Beatles dead at'
Politics,'Iran s Islamic Revolutionary Guards Corps IRGC test fired two ballistic missiles on Wednesday morning that it said were designed to be able to hit Israel defying a threat of new sanctions from the United S Iran tests more missiles capable of reaching Israel'
Politics,'North Korean leader Kim Jong Un said the country has miniaturized nuclear warheads to be mounted on ballistic missiles and ordered improvements in the power and precision of its arsenal its state media reported on W North Korea s Kim says country has miniaturized nuclear warhead'
Social,'Chipotle Mexican Grill Inc CMG N which is trying to recover from a series of food borne illness outbreaks temporarily shut a Massachusetts restaurant after four employees fell Chipotle Massachusetts outlet shut after workers fall ill'
Politics,'North Korean leader Kim Jong Un said the country has miniaturised nuclear warheads to be mounted on ballistic missiles and ordered improvements in the power and precision of its arsenal its state media reported on W North Korea s Kim says country has miniaturised nuclear warhead'
Politics,'Reuters Opinion columnist Bill Schneider has a warning for Republicans beware the Ides of M Why Republicans hate the Republican Party so much'
Sports,'Music is a source of inspiration and motivation for athletes from swimmers to gymnasts fencers to sitting volleyball Country music hip hop R B or hard rock tastes are as varied as the Olympic sports they See more U S athletes eyes on the Olympic prize'
Social,'During the press conference officials played video and audio tapes of the confrontation during which Finicum can be heard telling law enforcement officers Go ahead put the bullet through I don t I m going to meet the You do as you damn well Police shot Oregon protester in back but act was justified prosecutor'
Social,'In the months before Niculas Fernando died in a Japanese immigration detention center in three other men suffered the same Here s what we know via Special Reports Grim toll rises in Japan s detention centers as foreigners seek asylum'
Social,'Female laborers wearing helmets take a break from laying underground electricity cables in Ahmedabad I REUTERS Amit Dave Around the world in photos Reuters s cover photo'
Politics,'An American tourist was stabbed to death and at least nine other people were wounded by a Palestinian armed with a knife on a popular boardwalk in Tel Aviv authorities said while Vice President Joe Biden was in a meeting a few kilometers Read more Palestinian kills U S tourist in stabbing spree on Tel Aviv boardwalk'
Sports,'Tennis pro Serena Williams praised fellow player Maria Sharapova for taking full responsibility for failing a drug See more Serena Williams says Sharapova showed courage in taking'
Politics,'Yes there is a Well there s not a I m going to be forming a team at the appropriate I ve met with far more than three Trump lacks foreign policy team spurns criticism from abroad'
Sports,'Major sponsers are distancing themselves from tennis pro Maria Sharapova after her failed drug test Read more Sharapova starts to count cost of failed drug test likely ban'
Social,'The sacred chants of the ancient Jewish temples in Jerusalem are a long lost But some musicologists believe the year old notes can be reconstructed by drawing on traditional prayer songs heard in synagogues Tune in and listen to the ancient sounds Is this the sound of worship during Jesus time'
Social,'Guards decided Niculas Fernando wasn t in Five hours later he was An investigation into his death reveals fatal flaws in Japan s immigration This is our Special Report Timeline Photos'
Social,'Niculas Fernando died in a Japanese detention cell monitored around the How Read the full report Grim toll rises in Japan s detention centers as foreigners seek asylum'
Politics,'We were looking forward to hosting the bilateral meeting and we were surprised to first learn via media reports that the prime minister rather than accept our invitation opted to cancel his visit White House spokesman Ned Price Read more Timeline Photos'
Social,'The U S gun industry is trying to shake off the Hollywood hitman image of the gun silencer and rebrand it as a hearing protection device in a campaign to roll back regulations that date to the Find out more about the current rules and proposed changes Not just for hitmen Gun industry wants looser rules on silencers'
Social,'As the world recognizes International Women s Day a look at the women s rights movement of past and International Women s Day'
Politics,'At least people have been trapped in various parts of Greece from a cascade of border shutdowns further north blocking a so called Balkans corridor used by more than a million people since the migratory wave started a year Read more Migrants stuck in Greek makeshift camp vow to stay put'
Politics,'The number of former Guantanamo Bay prison inmates who are suspected of having returned to fighting for militants doubled to in the six months through January according to the Obama Read more Ex Guantanamo prisoners suspected of rejoining militants increases U S'
Politics,'The United States launched an air strike in Somalia that killed more than fighters with the al Qaeda linked Islamist group al Shabaab following U S intelligence on preparations for a large scale militant attack according to the P U S strikes al Shabaab training camp in Somalia more than killed'
Politics,'The U N Syria envoy Staffan de Mistura plans to start substantive peace talks by March his spokeswoman has said five days later than his planned start on March More details U N says substantive Syria talks to start by March'
Politics,'Morning Brief Bloomberg won t run Bibi won t come and silencers are the new fight in guns Read in to Tuesday with the headlines Morning Brief'
Politics,'Republican Donald Trump and Democrat Hillary Clinton look to build on their leads in the presidential nominating races when four states vote on Tuesday and polls show both front runners comfortably ahead in the biggest prize of M Read more Trump Clinton aim for Michigan wins to expand leads in White House race'
Technology,'Andrews sued the Nashville Marriott at Vanderbilt University over a video of her that was taken by a stalker in an adjoining room and posted on the Internet in Read more Jury awards Erin Andrews million in lawsuit over nude video'
Politics,'That is not a risk I can take in good conscience he wrote on Bloomberg View an opinion website that is part of his media Find out more Bloomberg opts out of U S presidential bid'
Politics,'Syrian army backed by allied forces recaptured a village from Islamist insurgents hours after Nusra Front and others seized the area south of city of Aleppo according to the Syrian Observatory for Human R Read more Syrian army retakes village in Aleppo province from Islamists monitor'
Social,'Oil prices fell today on weak Chinese trading data but Brent remained over a barrel after jumping to highs the previous day when producers announced talks to support the market and investors opened new bullish Read more Brent holds above as some investors call bottom on oil rout'
Social,'Former Rolling Stone Bill Wyman has been diagnosed with prostate cancer Former Rolling Stone Bill Wyman diagnosed with cancer'
Social,'More gloomy date out of China on Tuesday kept Asian stock markets on the back foot after they hit a two month high in the previous session while the dollar extended its slide as investors grew wary ahead of major central bank Read more Asia stocks wobble before central bank meetings China data disappoints'
Politics,'A European Union draft deal with Turkey to stop migrants reaching Greece introduces a harder edge of coercion to what critics have derided as a hitherto feeble EU response to a crisis tearing it Find out more Game changer How EU may shut Turkish door on migrants'
Sports,'Russian tennis star Maria Sharapova said on Monday she had failed a drug test at the Australian Open due to a substance she was taking for health issues leading longtime sponsor Nike to announce it was suspending ties during the Find out more Sharapova fails drug test Nike suspends ties'
Social,'China s February trade performance was far worse than economists had expected with exports tumbling the most in over six years days after top leaders sought to reassure investors that the outlook for the world s second largest economy remains China February exports post worst fall since May'
Politics,'A European Union draft deal with Turkey to stop migrants reaching Greece introduces a harder edge of coercion to what critics have derided as a hitherto feeble EU response to a crisis tearing it Game changer How EU may shut Turkish door on migrants'
Politics,'The number of former Guantanamo Bay prison inmates who are suspected of having returned to fighting for militants doubled to in the six months through January the Obama administration said on M Ex Guantanamo prisoners suspected of rejoining militants increases U S'
Social,'Asian shares fell on Tuesday as investors took profits after a month long rally and investors grew wary of the market s near term prospects ahead of major central bank Asian shares retreat on profit taking oil eyed'
Politics,'Former New York Mayor Michael Bloomberg said on Monday he would not mount an independent bid for the U S presidency because he feared it would increase the chances that Republicans Donald Trump or Ted Cruz could end up in the White H Bloomberg opts out of U S presidential bid calls for centrism'
Politics,'Former New York Mayor Michael Bloomberg said on Monday he would not mount an independent bid for the U S presidency because he feared it would increase the chances that Republicans Donald Trump or Ted Cruz could end up in the White H Bloomberg opts out of U S presidential bid calls for centrism'
Politics,'Russophobe has become a convenient label for anyone who disagrees with Russian President Vladimir Putin s aggressive behavior at home and abroad explains Reuters Opinion columnist Lucian K Find out more about the problem Do you suffer from Russophobia The Kremlin thinks you'
Social,'I was completely It was even embarrassing as my Hulk Hogan was Hulk Hogan humiliated by sex tape as Gawker trial starts'
Politics,'Michael Bloomberg said it was clear he could not win and he did not want to risk enabling a victory by Republicans Donald Trump or Ted C Read more Ex NYC Mayor Bloomberg says he will not enter presidential race'
Politics,'Foreign diplomats are not thrilled with the idea of a President Trump Foreign diplomats voicing alarm to U S officials about Trump'
Social,'A group of scholars think they may have uncovered what the music in Jerusalem s Jewish temple may have sounded like years Reuters journalist Dan Williams explains why even that claim is contributing to Israeli Palestinian tensions Is this the sound of worship during Jesus time'
Sports,'In a major announcement rumored to be about her retirement former tennis world number one Maria Sharapova said that she failed a drug test at the Australian O Read more Sharapova says failed drug test at Australian Open'
Sports,'Cody Strathe s team leaves the restart of the Iditarod Trail Sled Dog Race in Willow A REUTERS Nathaniel Wilder See the rest of our Editor s Choice photos of the day Reuters s cover photo'
Politics,'Mexico s president likened Donald Trump s strident tone to the ascent of dictators like Adolf Hitler and Benito M Read more Mexican president says won t pay for Trump wall makes Hitler warning'
Social,'Peyton Manning bid an emotional farewell to the NFL after an year Read more Peyton Manning says goodbye to NFL playing days'
Social,'That s a lot of NJ Transit strike would cost NYC million per hour business group'
Politics,'Reuters Opinion writer Peter Van Buren says it s time to renegotiate the contract that put the Middle East Find out more in his latest column Time for a new Sykes Picot Agreement to fix the Middle East'
Social,'More than participants took part in a decades old conch shell blowing contest in Key West Florida at the weekend seeking to make music with the large Watch Conch competition'
Social,'Award winning American environmental photographer Gary Braasch died while snorkeling at the northern end of the Great Barrier Reef U S climate change campaigner dies snorkeling at Great Barrier Reef'
Politics,'The European Union is holding an emergency summit with Turkey in the latest move to try and stem the flow of migrants to E Find out what s happening at the meeting EU Turk summit seeks to stem migrant flow'
